,input_files
0,/home/tony/engagenet_val/preprocess_mamba/subject_122_g0eklav32n_vid_0_0_0.npy
1,/home/tony/engagenet_val/preprocess_mamba/subject_122_g0eklav32n_vid_0_1_0.npy
2,/home/tony/engagenet_val/preprocess_mamba/subject_122_g0eklav32n_vid_0_10_0.npy
3,/home/tony/engagenet_val/preprocess_mamba/subject_122_g0eklav32n_vid_0_12_0.npy
4,/home/tony/engagenet_val/preprocess_mamba/subject_122_g0eklav32n_vid_0_11_0.npy
5,/home/tony/engagenet_val/preprocess_mamba/subject_122_g0eklav32n_vid_0_13_0.npy
6,/home/tony/engagenet_val/preprocess_mamba/subject_122_g0eklav32n_vid_0_14_0.npy
7,/home/tony/engagenet_val/preprocess_mamba/subject_122_g0eklav32n_vid_0_15_0.npy
8,/home/tony/engagenet_val/preprocess_mamba/subject_122_g0eklav32n_vid_0_16_0.npy
9,/home/tony/engagenet_val/preprocess_mamba/subject_122_g0eklav32n_vid_0_17_0.npy
10,/home/tony/engagenet_val/preprocess_mamba/subject_122_g0eklav32n_vid_0_19_0.npy
11,/home/tony/engagenet_val/preprocess_mamba/subject_122_g0eklav32n_vid_0_18_0.npy
12,/home/tony/engagenet_val/preprocess_mamba/subject_122_g0eklav32n_vid_0_2_0.npy
13,/home/tony/engagenet_val/preprocess_mamba/subject_122_g0eklav32n_vid_0_20_0.npy
14,/home/tony/engagenet_val/preprocess_mamba/subject_122_g0eklav32n_vid_0_21_0.npy
15,/home/tony/engagenet_val/preprocess_mamba/subject_122_g0eklav32n_vid_0_22_0.npy
16,/home/tony/engagenet_val/preprocess_mamba/subject_122_g0eklav32n_vid_0_23_0.npy
17,/home/tony/engagenet_val/preprocess_mamba/subject_122_g0eklav32n_vid_0_24_0.npy
18,/home/tony/engagenet_val/preprocess_mamba/subject_122_g0eklav32n_vid_0_25_0.npy
19,/home/tony/engagenet_val/preprocess_mamba/subject_122_g0eklav32n_vid_0_26_0.npy
20,/home/tony/engagenet_val/preprocess_mamba/subject_122_g0eklav32n_vid_0_27_0.npy
21,/home/tony/engagenet_val/preprocess_mamba/subject_122_g0eklav32n_vid_0_28_0.npy
22,/home/tony/engagenet_val/preprocess_mamba/subject_122_g0eklav32n_vid_0_29_0.npy
23,/home/tony/engagenet_val/preprocess_mamba/subject_122_g0eklav32n_vid_0_3_0.npy
24,/home/tony/engagenet_val/preprocess_mamba/subject_122_g0eklav32n_vid_0_30_0.npy
25,/home/tony/engagenet_val/preprocess_mamba/subject_122_g0eklav32n_vid_0_31_0.npy
26,/home/tony/engagenet_val/preprocess_mamba/subject_122_g0eklav32n_vid_0_32_0.npy
27,/home/tony/engagenet_val/preprocess_mamba/subject_122_g0eklav32n_vid_0_33_0.npy
28,/home/tony/engagenet_val/preprocess_mamba/subject_122_g0eklav32n_vid_0_4_0.npy
29,/home/tony/engagenet_val/preprocess_mamba/subject_122_g0eklav32n_vid_0_5_0.npy
